Tamanho: 20 | media do tempo: [0.004556381702423095]
Tamanho: 21 | media do tempo: [0.011927282810211182]
Tamanho: 22 | media do tempo: [0.01937650442123413]
Tamanho: 23 | media do tempo: [0.019344067573547362]
Tamanho: 24 | media do tempo: [0.018059778213500976]
Tamanho: 25 | media do tempo: [0.07125005722045899]
Tamanho: 26 | media do tempo: [0.1356908917427063]
Tamanho: 27 | media do tempo: [0.2101948380470276]
Tamanho: 28 | media do tempo: [0.19840614795684813]
Tamanho: 29 | media do tempo: [0.23405520915985106]
Tamanho: 30 | media do tempo: [0.6868213891983033]
Tamanho: 31 | media do tempo: [1.0428080677986145]
Tamanho: 32 | media do tempo: [1.307973527908325]
Tamanho: 33 | media do tempo: [3.2535511255264282]
Tamanho: 34 | media do tempo: [3.21024751663208]
Tamanho: 35 | media do tempo: [4.801851904392242]
Tamanho: 36 | media do tempo: [13.134428238868713]
Tamanho: 37 | media do tempo: [15.48242919445038]
Tamanho: 38 | media do tempo: [25.93939847946167]
